Matrix,m,n,rank,Sparsity,Method,Iter 25,Iter 100,Iter 250,Iter 500
100x80,100,80,10,10%,PALM,7150.635244844736,7135.108552522935,7134.843034222812,7134.383273153802
100x80,100,80,10,10%,FISTA-PALM,7135.864951197419,6792.019716093744,3338.0221767422026,1062.0689930608646
100x80,100,80,10,25%,PALM,235.71357096114141,227.4849038005043,224.6943259257814,219.64291221539906
100x80,100,80,10,25%,FISTA-PALM,227.71607389958172,203.414124095191,117.8102399789241,93.05186684632918
100x80,100,80,10,33%,PALM,227.95027747463493,221.9973017692025,211.690196224125,190.7352013119668
100x80,100,80,10,33%,FISTA-PALM,222.19427393608538,145.57560046400067,74.81713256424865,58.17621342927806
500x200,500,200,50,10%,PALM,43691.43719591649,12472.839041002382,12445.029390279511,12415.021968782183
500x200,500,200,50,10%,FISTA-PALM,13582.324233771222,12306.613062386574,11514.739462157731,9674.971034666767
500x200,500,200,50,25%,PALM,35740.08506889488,13034.908916629485,12342.633483342852,12057.797336026963
500x200,500,200,50,25%,FISTA-PALM,13116.02805611429,11090.074996235258,7069.633578369598,4327.827589060108
500x200,500,200,50,33%,PALM,51385.90134427181,14317.374510721904,12309.948516618988,11663.09433958517
500x200,500,200,50,33%,FISTA-PALM,13970.404918740245,9739.721403228234,5056.529908223066,2898.786008712907
1000x600,1000,600,200,10%,PALM,1487379.8776039423,320440.4284308308,278373.44565039803,276438.4302672043
1000x600,1000,600,200,10%,FISTA-PALM,320675.6527756649,275233.12115850055,264042.22759281535,229796.40859831418
1000x600,1000,600,200,25%,PALM,3512061.5984310936,804234.530059322,348563.90397415066,282049.93260361033
1000x600,1000,600,200,25%,FISTA-PALM,682807.0377690479,265780.3797996458,192657.27074860237,119598.11844130354
1000x600,1000,600,200,33%,PALM,4210298.447419303,1144004.256689537,431340.89337965846,300489.9212386178
1000x600,1000,600,200,33%,FISTA-PALM,990199.0151734174,256913.4748841367,150433.6070159371,82746.0946647899
